Epoch: [0][5/157]	Time 1.150	ELBO -5.48883e+06	 MSE: 6.3743e+03	 MSM: 0.0000e+00
Epoch: [0][10/157]	Time 1.162	ELBO -2.93490e+06	 MSE: 3.8204e+03	 MSM: 0.0000e+00
Epoch: [0][15/157]	Time 1.171	ELBO -2.53364e+06	 MSE: 3.4191e+03	 MSM: 0.0000e+00
Epoch: [0][20/157]	Time 1.171	ELBO -2.32643e+06	 MSE: 3.2119e+03	 MSM: 0.0000e+00
Epoch: [0][25/157]	Time 1.145	ELBO -2.00494e+06	 MSE: 2.8904e+03	 MSM: 0.0000e+00
Epoch: [0][30/157]	Time 1.171	ELBO -1.88831e+06	 MSE: 2.7738e+03	 MSM: 0.0000e+00
Epoch: [0][35/157]	Time 1.172	ELBO -1.66402e+06	 MSE: 2.5495e+03	 MSM: 0.0000e+00
Epoch: [0][40/157]	Time 1.869	ELBO -1.57488e+06	 MSE: 2.4604e+03	 MSM: 0.0000e+00
Epoch: [0][45/157]	Time 1.173	ELBO -1.50712e+06	 MSE: 2.3926e+03	 MSM: 0.0000e+00
Epoch: [0][50/157]	Time 1.175	ELBO -1.43824e+06	 MSE: 2.3237e+03	 MSM: 0.0000e+00
Epoch: [0][55/157]	Time 1.170	ELBO -1.41881e+06	 MSE: 2.3043e+03	 MSM: 0.0000e+00
Epoch: [0][60/157]	Time 1.178	ELBO -1.47262e+06	 MSE: 2.3581e+03	 MSM: 0.0000e+00
Epoch: [0][65/157]	Time 1.183	ELBO -1.44248e+06	 MSE: 2.3280e+03	 MSM: 0.0000e+00
Epoch: [0][70/157]	Time 1.165	ELBO -1.43291e+06	 MSE: 2.3184e+03	 MSM: 0.0000e+00
Epoch: [0][75/157]	Time 1.183	ELBO -1.42337e+06	 MSE: 2.3088e+03	 MSM: 0.0000e+00
Epoch: [0][80/157]	Time 1.177	ELBO -1.43062e+06	 MSE: 2.3161e+03	 MSM: 0.0000e+00
Epoch: [0][85/157]	Time 1.188	ELBO -1.43127e+06	 MSE: 2.3167e+03	 MSM: 0.0000e+00
Epoch: [0][90/157]	Time 1.183	ELBO -1.41453e+06	 MSE: 2.3000e+03	 MSM: 0.0000e+00
Epoch: [0][95/157]	Time 1.177	ELBO -1.44410e+06	 MSE: 2.3296e+03	 MSM: 0.0000e+00
Epoch: [0][100/157]	Time 1.176	ELBO -1.43684e+06	 MSE: 2.3223e+03	 MSM: 0.0000e+00
Epoch: [0][105/157]	Time 1.192	ELBO -1.39781e+06	 MSE: 2.2833e+03	 MSM: 0.0000e+00
Epoch: [0][110/157]	Time 1.172	ELBO -1.43273e+06	 MSE: 2.3182e+03	 MSM: 0.0000e+00
Epoch: [0][115/157]	Time 1.190	ELBO -1.43672e+06	 MSE: 2.3222e+03	 MSM: 0.0000e+00
Epoch: [0][120/157]	Time 1.211	ELBO -1.39817e+06	 MSE: 2.2836e+03	 MSM: 0.0000e+00
Epoch: [0][125/157]	Time 1.172	ELBO -1.41130e+06	 MSE: 2.2968e+03	 MSM: 0.0000e+00
Epoch: [0][130/157]	Time 1.184	ELBO -1.41257e+06	 MSE: 2.2980e+03	 MSM: 0.0000e+00
Epoch: [0][135/157]	Time 1.278	ELBO -1.40711e+06	 MSE: 2.2926e+03	 MSM: 0.0000e+00
Epoch: [0][140/157]	Time 1.223	ELBO -1.38963e+06	 MSE: 2.2751e+03	 MSM: 0.0000e+00
Epoch: [0][145/157]	Time 1.194	ELBO -1.39512e+06	 MSE: 2.2806e+03	 MSM: 0.0000e+00
